sep=,
skkni_unit_code,skkni_unit_title_en,job_role,course_code,course_name,concentration_track,semester,match_strength,match_score,match_rationale
K.62AIN00.001.2,Determining Business Objectives for Artificial Intelligence Solutions,AI Business & Solution Planner,ISC101,Business Process Analysis,,1,Primary,100,Both center on identifying organizational problems/objectives and defining success criteria via process analysis -- ISC101's business-process identification plus improvement recommendations directly parallels the unit's 'identify AI project business objectives + success criteria.'
K.62AIN00.001.2,Determining Business Objectives for Artificial Intelligence Solutions,AI Business & Solution Planner,FAC201,Gen-AI & Economic Survival / Internship Experience for Computer Science,,2,Supporting,50,"Validates a business idea and defines success/risk criteria before building, using generative AI tools -- the same objective-setting skill, generalized beyond AI-project scoping specifically."
K.62AIN00.002.2,Determining Technical Objectives for Artificial Intelligence Solutions,AI Business & Solution Planner,ISC201,Information System Analysis and Design,,2,Primary,100,Requirements elicitation and defining functional/non-functional requirements is the IS-curriculum equivalent of determining technical objectives and technical success criteria for a solution.
K.62AIN00.002.2,Determining Technical Objectives for Artificial Intelligence Solutions,AI Business & Solution Planner,ISC402,Information System Agile Project Management with DevOps,,4,Supporting,50,"Agile planning practice for translating goals into deliverable, evaluated project scope."
K.62AIN00.003.2,Determining the Technical Architecture of Artificial Intelligence Solutions,AI Business & Solution Planner,ISC501,Enterprise Information System,,5,Primary,100,Enterprise IS architecture design and conceptual solution design is the closest curriculum equivalent to defining an AI solution's technical architecture components.
K.62AIN00.003.2,Determining the Technical Architecture of Artificial Intelligence Solutions,AI Business & Solution Planner,ISC201,Information System Analysis and Design,,2,Supporting,50,System modeling and process/data-flow design underlies architecture scoping.
K.62AIN00.004.2,Creating an Artificial Intelligence Solution Project Plan,AI Business & Solution Planner,ISC402,Information System Agile Project Management with DevOps,,4,Primary,100,Agile project planning and team delivery of an evaluated solution maps directly onto 'preparing a detailed project execution plan' and identifying implementation risk.
K.62AIN00.004.2,Creating an Artificial Intelligence Solution Project Plan,AI Business & Solution Planner,FAC201,Gen-AI & Economic Survival / Internship Experience for Computer Science,,2,Supporting,50,Risk assessment is part of validating and pitching an MVP proposal.
K.62AIN00.005.2,Determining Technical Objectives for Artificial Intelligence Models,AI Knowledge Engineer,ISC401,Artificial Intelligence for Information System,,4,Primary,100,"Identifying AI use cases and defining what a model needs to achieve maps directly onto this course's 'identify AI use cases, build/evaluate basic AI/ML models.'"
K.62AIN00.005.2,Determining Technical Objectives for Artificial Intelligence Models,AI Knowledge Engineer,DSB503,Machine Learning for Business Analytics,Data Science for Business Analytics,5,Supporting,50,A model-training/validation workflow requires the same upfront objective-setting this unit describes.
